S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
4.5,5.25,16.65,2.1,11.1,226.65,30.15,9.0,15.45,58.3,10.35,19.35,22.2,2.1,70.35,3.15,22.5,31.126470588235293,14371.270934256056,13.065000000000001,100.13333333333333,24.525
4.5,5.25,15.75,2.625,12.0,250.125,28.5,9.125,16.125,58.0,10.875,22.25,23.25,2.625,70.5,3.375,25.875,32.98529411764706,16902.066608996538,13.412500000000001,108.08333333333334,25.59375
4.5,5.25,14.85,3.1500000000000004,12.9,273.6,26.85,9.25,16.8,57.7,11.4,25.15,24.3,3.1500000000000004,70.65,3.6,29.25,34.84411764705882,19432.862283737028,13.760000000000002,116.03333333333333,26.6625
4.5,5.25,13.95,3.6750000000000003,13.8,297.07500000000005,25.200000000000003,9.375,17.475,57.4,11.925,28.05,25.35,3.6750000000000003,70.8,3.825,32.625,36.70294117647059,21963.65795847751,14.1075,123.98333333333333,27.731250000000003
4.5,5.25,13.05,4.2,14.7,320.55,23.55,9.5,18.15,57.1,12.45,30.95,26.4,4.2,70.95,4.05,36.0,38.561764705882354,24494.453633217992,14.455,131.93333333333334,28.8
4.5,5.25,12.15,4.7250000000000005,15.6,344.025,21.9,9.625,18.825,56.8,12.975000000000001,33.849999999999994,27.450000000000003,4.7250000000000005,71.1,4.275,39.375,40.42058823529412,27025.249307958482,14.8025,139.88333333333333,29.86875
4.5,5.25,11.25,5.25,16.5,367.5,20.25,9.75,19.5,56.5,13.5,36.75,28.5,5.25,71.25,4.5,42.75,42.279411764705884,29556.04498269896,15.15,147.83333333333334,30.9375
5.175,9.45,12.975,8.925,18.15,386.4,20.7,18.2,37.05,62.05,13.825,44.925,40.05,5.25,70.425,4.8,42.3,47.097058823529416,33336.13010380622,19.2375,161.83333333333334,30.69375
5.85,13.65,14.7,12.6,19.8,405.3,21.15,26.65,54.6,67.6,14.15,53.1,51.6,5.25,69.6,5.1,41.85,51.91470588235294,37116.215224913496,23.325000000000003,175.83333333333334,30.45
6.525,17.85,16.425,16.275,21.45,424.2,21.6,35.099999999999994,72.15,73.15,14.475,61.275000000000006,63.150000000000006,5.25,68.775,5.4,41.4,56.73235294117647,40896.300346020755,27.4125,189.83333333333331,30.20625
7.2,22.05,18.15,19.95,23.1,443.1,22.05,43.55,89.7,78.7,14.8,69.45,74.7,5.25,67.95,5.7,40.95,61.55,44676.38546712803,31.5,203.83333333333331,29.9625
7.875,26.25,19.875,23.625,24.75,462.0,22.5,52.0,107.25,84.25,15.125,77.625,86.25,5.25,67.125,6.0,40.5,66.36764705882354,48456.47058823529,35.5875,217.83333333333331,29.71875
8.55,30.450000000000003,21.6,27.299999999999997,26.4,480.9,22.95,60.449999999999996,124.80000000000001,89.8,15.45,85.80000000000001,97.80000000000001,5.25,66.3,6.3,40.05,71.18529411764706,52236.55570934256,39.675000000000004,231.83333333333331,29.475
9.225000000000001,34.650000000000006,23.325000000000003,30.974999999999998,28.049999999999997,499.79999999999995,23.4,68.89999999999999,142.35000000000002,95.35,15.775,93.97500000000001,109.35000000000001,5.25,65.475,6.6,39.6,76.00294117647059,56016.64083044982,43.7625,245.83333333333331,29.23125
9.9,38.85,25.05,34.65,29.7,518.7,23.85,77.35,159.9,100.9,16.1,102.15,120.9,5.25,64.65,6.9,39.15,80.82058823529411,59796.72595155709,47.85,259.8333333333333,28.9875
10.575,43.050000000000004,26.775,38.324999999999996,31.35,537.6,24.3,85.8,177.45000000000002,106.44999999999999,16.425,110.325,132.45,5.25,63.825,7.199999999999999,38.7,85.63823529411765,63576.81107266435,51.9375,273.8333333333333,28.74375
11.25,47.25,28.5,42.0,33.0,556.5,24.75,94.25,195.0,112.0,16.75,118.5,144.0,5.25,63.0,7.5,38.25,90.45588235294117,67356.89619377162,56.025,287.8333333333333,28.5
14.4,47.55,30.225,43.575,40.575,561.225,25.425,94.0,229.5,136.225,17.425,120.525,151.275,6.075,61.575,8.1,36.225,95.5235294117647,73488.92906574394,58.4975,308.9833333333333,27.99375
17.55,47.85,31.95,45.15,48.15,565.95,26.1,93.75,264.0,160.45,18.1,122.55,158.55,6.9,60.15,8.7,34.2,100.59117647058824,79620.96193771626,60.97,330.1333333333333,27.4875
20.7,48.15,33.675,46.725,55.725,570.675,26.775,93.5,298.5,184.675,18.775,124.575,165.825,7.725,58.725,9.3,32.175,105.65882352941176,85752.99480968856,63.442499999999995,351.2833333333333,26.98125
23.85,48.45,35.4,48.3,63.3,575.4,27.45,93.25,333.0,208.9,19.45,126.6,173.1,8.55,57.3,9.9,30.15,110.72647058823529,91885.0276816609,65.91499999999999,372.4333333333333,26.475
